price,quantity,type,timestamp
47188000,0.018,0,2023-11-08 23:15:00
47187000,0.1487,0,2023-11-08 23:15:00
47186000,0.0044,0,2023-11-08 23:15:00
47198000,0.005,1,2023-11-08 23:15:00
47200000,0.0281,1,2023-11-08 23:15:00
47201000,0.0831,1,2023-11-08 23:15:00
47203000,0.0038,1,2023-11-08 23:15:00
47204000,0.0946,1,2023-11-08 23:15:00
47187000,0.046,0,2023-11-08 23:15:04
47186000,0.0891,0,2023-11-08 23:15:04
47185000,0.0001,0,2023-11-08 23:15:04
47184000,0.0003,0,2023-11-08 23:15:04
47183000,0.0004,0,2023-11-08 23:15:04
47196000,0.0267,1,2023-11-08 23:15:04
47197000,0.0848,1,2023-11-08 23:15:04
47198000,0.005,1,2023-11-08 23:15:04
47199000,0.0031,1,2023-11-08 23:15:04
47200000,0.0012,1,2023-11-08 23:15:04
47183000,0.0004,0,2023-11-08 23:15:08
47182000,0.0002,0,2023-11-08 23:15:08
47181000,0.0009,0,2023-11-08 23:15:08
47180000,0.0021,0,2023-11-08 23:15:08
47179000,0.0006,0,2023-11-08 23:15:08
47184000,0.0329,1,2023-11-08 23:15:08
47185000,0.0695,1,2023-11-08 23:15:08
47187000,0.0881,1,2023-11-08 23:15:08
47193000,0.003,1,2023-11-08 23:15:08
47194000,0.0269,1,2023-11-08 23:15:08
47183000,0.0004,0,2023-11-08 23:15:12
47182000,0.0002,0,2023-11-08 23:15:12
47181000,0.0009,0,2023-11-08 23:15:12
47180000,0.0021,0,2023-11-08 23:15:12
47179000,0.0427,0,2023-11-08 23:15:12
47184000,0.0263,1,2023-11-08 23:15:12
47185000,0.0695,1,2023-11-08 23:15:12
47189000,0.0032,1,2023-11-08 23:15:12
47190000,0.0831,1,2023-11-08 23:15:12
47194000,0.0267,1,2023-11-08 23:15:12
47178000,0.0114,0,2023-11-08 23:15:16
47177000,0.0003,0,2023-11-08 23:15:16
47176000,0.0702,0,2023-11-08 23:15:16
47175000,0.0002,0,2023-11-08 23:15:16
47174000,0.0424,0,2023-11-08 23:15:16
47184000,0.015,1,2023-11-08 23:15:16
47185000,0.0695,1,2023-11-08 23:15:16
47186000,0.0448,1,2023-11-08 23:15:16
47187000,0.0878,1,2023-11-08 23:15:16
47188000,0.0268,1,2023-11-08 23:15:16
47177000,0.0003,0,2023-11-08 23:15:20
47176000,0.0704,0,2023-11-08 23:15:20
47175000,0.0002,0,2023-11-08 23:15:20
47174000,0.0424,0,2023-11-08 23:15:20
47173000,0.004,0,2023-11-08 23:15:20
47184000,0.0148,1,2023-11-08 23:15:20
47185000,0.0695,1,2023-11-08 23:15:20
47186000,0.0448,1,2023-11-08 23:15:20
47187000,0.0878,1,2023-11-08 23:15:20
47188000,0.0268,1,2023-11-08 23:15:20
47177000,0.0116,0,2023-11-08 23:15:24
47176000,0.0639,0,2023-11-08 23:15:24
47175000,0.0001,0,2023-11-08 23:15:24
47174000,0.0843,0,2023-11-08 23:15:24
47173000,0.004,0,2023-11-08 23:15:24
47184000,0.0148,1,2023-11-08 23:15:24
47185000,0.0695,1,2023-11-08 23:15:24
47186000,0.0002,1,2023-11-08 23:15:24
47193000,0.0363,1,2023-11-08 23:15:24
47194000,0.0687,1,2023-11-08 23:15:24
47199000,0.0408,0,2023-11-08 23:15:28
47198000,0.0976,0,2023-11-08 23:15:28
47194000,0.0049,0,2023-11-08 23:15:28
47192000,0.0247,0,2023-11-08 23:15:28
47191000,0.0467,0,2023-11-08 23:15:28
47210000,0.0005,1,2023-11-08 23:15:28
47211000,0.0007,1,2023-11-08 23:15:28
47213000,0.0467,1,2023-11-08 23:15:28
47214000,0.0004,1,2023-11-08 23:15:28
47215000,0.1307,1,2023-11-08 23:15:28
47200000,0.0002,0,2023-11-08 23:15:32
47195000,0.0334,0,2023-11-08 23:15:32
47194000,0.0886,0,2023-11-08 23:15:32
47192000,0.0068,0,2023-11-08 23:15:32
47190000,0.0914,0,2023-11-08 23:15:32
47210000,0.0055,1,2023-11-08 23:15:32
47211000,0.0434,1,2023-11-08 23:15:32
47212000,0.0855,1,2023-11-08 23:15:32
47213000,0.0039,1,2023-11-08 23:15:32
47214000,0.0639,1,2023-11-08 23:15:32
47200000,0.0847,0,2023-11-08 23:15:36
47195000,0.0128,0,2023-11-08 23:15:36
47193000,0.0831,0,2023-11-08 23:15:36
47192000,0.0196,0,2023-11-08 23:15:36
47190000,0.0914,0,2023-11-08 23:15:36
47210000,0.0055,1,2023-11-08 23:15:36
47211000,0.0007,1,2023-11-08 23:15:36
47212000,0.1703,1,2023-11-08 23:15:36
47213000,0.0466,1,2023-11-08 23:15:36
47214000,0.0004,1,2023-11-08 23:15:36
47194000,0.0133,0,2023-11-08 23:15:40
47193000,0.0833,0,2023-11-08 23:15:40
47192000,0.0282,0,2023-11-08 23:15:40
47190000,0.1974,0,2023-11-08 23:15:40
47189000,2.5344,0,2023-11-08 23:15:40
47209000,0.0425,1,2023-11-08 23:15:40
47210000,0.0055,1,2023-11-08 23:15:40
47211000,0.0007,1,2023-11-08 23:15:40
47212000,0.0855,1,2023-11-08 23:15:40
47213000,0.0039,1,2023-11-08 23:15:40
47194000,0.0013,0,2023-11-08 23:15:44
47193000,0.0001,0,2023-11-08 23:15:44
47192000,0.0036,0,2023-11-08 23:15:44
47190000,0.1974,0,2023-11-08 23:15:44
47189000,0.0489,0,2023-11-08 23:15:44
47204000,0.0425,1,2023-11-08 23:15:44
47205000,0.0938,1,2023-11-08 23:15:44
47207000,0.0917,1,2023-11-08 23:15:44
47209000,0.0845,1,2023-11-08 23:15:44
47210000,0.0005,1,2023-11-08 23:15:44
47190000,0.0004,0,2023-11-08 23:15:48
47189000,0.0847,0,2023-11-08 23:15:48
47186000,0.0002,0,2023-11-08 23:15:48
47184000,0.0036,0,2023-11-08 23:15:48
47182000,0.0799,0,2023-11-08 23:15:48
47195000,0.0001,1,2023-11-08 23:15:48
47196000,0.0001,1,2023-11-08 23:15:48
47201000,0.0425,1,2023-11-08 23:15:48
47202000,0.0881,1,2023-11-08 23:15:48
47203000,0.0848,1,2023-11-08 23:15:48
47186000,0.0052,0,2023-11-08 23:15:52
47184000,0.0036,0,2023-11-08 23:15:52
47182000,0.0799,0,2023-11-08 23:15:52
47181000,0.0276,0,2023-11-08 23:15:52
47180000,0.0235,0,2023-11-08 23:15:52
47195000,0.0369,1,2023-11-08 23:15:52
47196000,0.0051,1,2023-11-08 23:15:52
47198000,0.0001,1,2023-11-08 23:15:52
47199000,0.0001,1,2023-11-08 23:15:52
47201000,0.0001,1,2023-11-08 23:15:52
47184000,0.0036,0,2023-11-08 23:15:56
47181000,0.0005,0,2023-11-08 23:15:56
47180000,0.0031,0,2023-11-08 23:15:56
47179000,0.0497,0,2023-11-08 23:15:56
47178000,0.0865,0,2023-11-08 23:15:56
47196000,0.0051,1,2023-11-08 23:15:56
47198000,0.0001,1,2023-11-08 23:15:56
47199000,0.0862,1,2023-11-08 23:15:56
47201000,0.0001,1,2023-11-08 23:15:56
47202000,0.0882,1,2023-11-08 23:15:56
47181000,0.0281,0,2023-11-08 23:16:00
47180000,0.0031,0,2023-11-08 23:16:00
47179000,0.0497,0,2023-11-08 23:16:00
47178000,0.0865,0,2023-11-08 23:16:00
47177000,0.1067,0,2023-11-08 23:16:00
47198000,0.005,1,2023-11-08 23:16:00
47199000,0.0862,1,2023-11-08 23:16:00
47201000,0.0001,1,2023-11-08 23:16:00
47202000,0.0882,1,2023-11-08 23:16:00
47203000,0.0463,1,2023-11-08 23:16:00
47181000,0.0283,0,2023-11-08 23:16:04
47180000,0.0031,0,2023-11-08 23:16:04
47179000,0.0497,0,2023-11-08 23:16:04
47178000,0.0865,0,2023-11-08 23:16:04
47177000,0.1067,0,2023-11-08 23:16:04
47198000,0.0475,1,2023-11-08 23:16:04
47199000,0.0862,1,2023-11-08 23:16:04
47200000,0.0002,1,2023-11-08 23:16:04
47201000,0.0001,1,2023-11-08 23:16:04
47202000,0.0919,1,2023-11-08 23:16:04
47186000,0.0278,0,2023-11-08 23:16:08
47185000,0.0446,0,2023-11-08 23:16:08
47184000,0.003,0,2023-11-08 23:16:08
47183000,0.0832,0,2023-11-08 23:16:08
47181000,0.0005,0,2023-11-08 23:16:08
47198000,0.0425,1,2023-11-08 23:16:08
47199000,0.0001,1,2023-11-08 23:16:08
47200000,0.0002,1,2023-11-08 23:16:08
47201000,0.0001,1,2023-11-08 23:16:08
47202000,0.0038,1,2023-11-08 23:16:08
47192000,0.0002,0,2023-11-08 23:16:12
47186000,0.0278,0,2023-11-08 23:16:12
47185000,0.0446,0,2023-11-08 23:16:12
47184000,0.003,0,2023-11-08 23:16:12
47183000,0.0832,0,2023-11-08 23:16:12
47194000,0.0002,1,2023-11-08 23:16:12
47199000,0.0001,1,2023-11-08 23:16:12
47200000,0.0002,1,2023-11-08 23:16:12
47201000,0.0426,1,2023-11-08 23:16:12
47202000,0.0869,1,2023-11-08 23:16:12
47192000,0.0002,0,2023-11-08 23:16:16
47190000,0.0002,0,2023-11-08 23:16:16
47189000,0.0002,0,2023-11-08 23:16:16
47185000,0.0724,0,2023-11-08 23:16:16
47184000,0.0877,0,2023-11-08 23:16:16
47194000,0.0002,1,2023-11-08 23:16:16
47196000,0.0002,1,2023-11-08 23:16:16
47197000,0.0002,1,2023-11-08 23:16:16
47199000,0.0001,1,2023-11-08 23:16:16
47200000,0.0002,1,2023-11-08 23:16:16
47192000,0.0002,0,2023-11-08 23:16:20
47190000,0.0002,0,2023-11-08 23:16:20
47189000,0.0002,0,2023-11-08 23:16:20
47187000,0.0002,0,2023-11-08 23:16:20
47186000,0.0002,0,2023-11-08 23:16:20
47194000,0.0002,1,2023-11-08 23:16:20
47196000,0.0002,1,2023-11-08 23:16:20
47197000,0.0002,1,2023-11-08 23:16:20
47199000,0.0003,1,2023-11-08 23:16:20
47200000,0.0004,1,2023-11-08 23:16:20
47192000,0.0002,0,2023-11-08 23:16:24
47190000,0.0002,0,2023-11-08 23:16:24
